"","X","Authors","metric","subgroup","group","group_general","tissue","CN","EN","yi","vi","stats","Protocol","genotype_intervention","hormonal_intervention","colitis_intervention","dietary_intervention","control"
"1865",1865,"Weng et al. 2019","Simpson","APOE4_APP transgene +","genotype (prime Alzheimer), AD transgenic ","genotype, AD transgenic ","fecal",19,24,-0.007157709,0.052005298,"lnVR","Weng","yes","no","no","no","treatment"
"1866",1866,"Weng et al. 2019","Simpson","APOE4_APP transgene -","genotype (prime Alzheimer)","genotype","fecal",32,24,0.371908404,0.039333634,"lnVR","Weng","yes","no","no","no","treatment"
"1867",1867,"Wolfe et al. 2020","Simpson","Smad3-/-_CRC_SFB+_cecal","genotype (deficient immunity), colitis and inflammatory intervention, microbe intervention","genotype, colitis and inflammatory intervention, microbe intervention","cecal",1,7,NA,NA,"lnVR","Wolfe","yes","no","yes","no","treatment"
"1868",1868,"Wolfe et al. 2020","Simpson","Smad3-/-_CRC_SFB+_fecal","genotype (deficient immunity), colitis and inflammatory intervention, microbe intervention","genotype, colitis and inflammatory intervention, microbe intervention","fecal",10,68,1.607379064,0.069302465,"lnVR","Wolfe","yes","no","yes","no","treatment"
"1869",1869,"Wolfe et al. 2020","Simpson","Smad3-/-_CRC_SFB-_cecal","genotype (deficient immunity), colitis and inflammatory intervention","genotype, colitis and inflammatory intervention","cecal",2,7,2.316643959,1.097222222,"lnVR","Wolfe","yes","no","yes","no","treatment"
"1870",1870,"Wolfe et al. 2020","Simpson","Smad3-/-_CRC_SFB-_fecal","genotype (deficient immunity), colitis and inflammatory intervention","genotype, colitis and inflammatory intervention","fecal",34,83,0.399267322,0.021782573,"lnVR","Wolfe","yes","no","yes","no","treatment"
"1871",1871,"Wolfe et al. 2020","Simpson","Smad3-/-_healthy_SFB+_cecal","genotype (deficient immunity), microbe intervention","genotype, microbe intervention","cecal",15,5,0.020939854,0.194515306,"lnVR","Wolfe","yes","no","no","no","treatment"
"1872",1872,"Wolfe et al. 2020","Simpson","Smad3-/-_healthy_SFB+_fecal","genotype (deficient immunity), microbe intervention","genotype, microbe intervention","fecal",156,49,0.892461859,0.013880299,"lnVR","Wolfe","yes","no","no","no","treatment"
"1873",1873,"Wolfe et al. 2020","Simpson","Smad3-/-_healthy_SFB-_cecal","genotype (deficient immunity)","genotype","cecal",15,10,1.034213731,0.099993701,"lnVR","Wolfe","yes","no","no","no","treatment"
"1874",1874,"Wolfe et al. 2020","Simpson","Smad3-/-_healthy_SFB-_fecal","genotype (deficient immunity)","genotype","fecal",158,135,0.588981612,0.006964187,"lnVR","Wolfe","yes","no","no","no","treatment"
"1875",1875,"Zajac et al. 2022","Simpson","APOE2/E2_cecal","genotype (neuroprotective against Alzheimer)","genotype","cecal",5,6,-1.084335824,0.27625,"lnVR","Zajac","yes","no","no","no","treatment"
"1876",1876,"Zajac et al. 2022","Simpson","APOE2/E2_fecal","genotype (neuroprotective against Alzheimer)","genotype","fecal",15,21,-0.37001879,0.064515306,"lnVR","Zajac","yes","no","no","no","treatment"
"1877",1877,"Zajac et al. 2022","Simpson","APOE2/E2_small bowel","genotype (neuroprotective against Alzheimer)","genotype","small bowel",2,3,-0.438653675,1.375,"lnVR","Zajac","yes","no","no","no","treatment"
"1878",1878,"Zajac et al. 2022","Simpson","APOE2/E3_cecal","genotype (neuroprotective against Alzheimer to neutral)","genotype","cecal",7,10,0.860670683,0.158950617,"lnVR","Zajac","yes","no","no","no","treatment"
"1879",1879,"Zajac et al. 2022","Simpson","APOE2/E3_fecal","genotype (neuroprotective against Alzheimer to neutral)","genotype","fecal",21,36,0.001174113,0.040943878,"lnVR","Zajac","yes","no","no","no","treatment"
"1880",1880,"Zajac et al. 2022","Simpson","APOE2/E3_small bowel","genotype (neuroprotective against Alzheimer to neutral)","genotype","small bowel",1,NA,NA,NA,"lnVR","Zajac","yes","no","no","no","treatment"
"1881",1881,"Zajac et al. 2022","Simpson","APOE2_fecal","genotype (neuroprotective against Alzheimer)","genotype","fecal",8,7,-1.323705283,0.178854875,"lnVR","Zajac","yes","no","no","no","treatment"
"1882",1882,"Zajac et al. 2022","Simpson","APOE3/E3_cecal","genotype (neutral)","genotype","cecal",13,5,-0.736323863,0.201388889,"lnVR","Zajac","yes","no","no","no","treatment"
"1883",1883,"Zajac et al. 2022","Simpson","APOE3/E3_fecal","genotype (neutral)","genotype","fecal",41,15,-0.188410756,0.051077806,"lnVR","Zajac","yes","no","no","no","treatment"
"1884",1884,"Zajac et al. 2022","Simpson","APOE3/E3_small bowel","genotype (neutral)","genotype","small bowel",4,2,0.065811659,1.222222222,"lnVR","Zajac","yes","no","no","no","treatment"
"1885",1885,"Zajac et al. 2022","Simpson","APOE3/E4_cecal","genotype (neutral to prime Alzheimer)","genotype","cecal",10,8,-0.815331872,0.143361048,"lnVR","Zajac","yes","no","no","no","treatment"
"1886",1886,"Zajac et al. 2022","Simpson","APOE3/E4_fecal","genotype (neutral to prime Alzheimer)","genotype","fecal",32,23,0.063696938,0.040409654,"lnVR","Zajac","yes","no","no","no","treatment"
"1887",1887,"Zajac et al. 2022","Simpson","APOE3/E4_small bowel","genotype (neutral to prime Alzheimer)","genotype","small bowel",NA,1,NA,NA,"lnVR","Zajac","yes","no","no","no","treatment"
"1888",1888,"Zajac et al. 2022","Simpson","APOE3_fecal","genotype (neutral)","genotype","fecal",6,7,-0.33148581,0.217222222,"lnVR","Zajac","yes","no","no","no","treatment"
"1889",1889,"Zajac et al. 2022","Simpson","APOE4/E4_cecal","genotype (prime Alzheimer)","genotype","cecal",5,4,-0.424599034,0.378472222,"lnVR","Zajac","yes","no","no","no","treatment"
"1890",1890,"Zajac et al. 2022","Simpson","APOE4/E4_fecal","genotype (prime Alzheimer)","genotype","fecal",15,19,0.027957702,0.067586294,"lnVR","Zajac","yes","no","no","no","treatment"
"1891",1891,"Zajac et al. 2022","Simpson","APOE4/E4_small bowel","genotype (prime Alzheimer)","genotype","small bowel",3,3,-0.04220355,0.75,"lnVR","Zajac","yes","no","no","no","treatment"
"1892",1892,"Zajac et al. 2022","Simpson","APOE4_fecal","genotype (prime Alzheimer)","genotype","fecal",7,7,0.329560182,0.194444444,"lnVR","Zajac","yes","no","no","no","treatment"
"1893",1893,"Zou et al. 2021","Simpson","Control","control","control","fecal",4,4,1.367416833,0.444444444,"lnVR","Zou","no","no","no","no","control"
"1894",1894,"Zou et al. 2021","Simpson","Glrx1 KO + High fat chow","genotype (pro-inflammation), dietary intervention","genotype, dietary intervention","fecal",4,4,-0.08774767,0.444444444,"lnVR","Zou","yes","no","no","yes","treatment"
"1895",1895,"Zou et al. 2021","Simpson","Glrx1 KO + Standard chow","genotype (pro-inflammation), dietary intervention","genotype, dietary intervention","fecal",2,3,0.669559977,1.375,"lnVR","Zou","yes","no","no","yes","treatment"
"1896",1896,"Zou et al. 2021","Simpson","High fat chow","dietary intervention","dietary intervention","fecal",5,5,0.090309687,0.3125,"lnVR","Zou","no","no","no","yes","treatment"
"1897",1897,"Cheema & Pluznick 2019","Chao1","Ang II infusion","increased blood pressure (cardiovascular disease model)","drug treatment","fecal",3,3,0.058446819,0.013879546,"lnRR","Cheema","no","no","no","no","treatment"
"1898",1898,"Cheema & Pluznick 2019","Chao1","Control","control","control","fecal",3,3,-0.148563522,0.048325446,"lnRR","Cheema","no","no","no","no","control"
"1899",1899,"Ellis et al. 2021","Chao1","13C11MK4","dietary intervention","dietary intervention","cecal",7,7,0.059301627,0.001060452,"lnRR","Ellis","no","no","no","yes","treatment"
"1900",1900,"Ellis et al. 2021","Chao1","2H7MK7","dietary intervention","dietary intervention","cecal",7,7,0.168688431,0.005994708,"lnRR","Ellis","no","no","no","yes","treatment"
"1901",1901,"Ellis et al. 2021","Chao1","2H7MK9","dietary intervention","dietary intervention","cecal",7,7,0.129200489,0.006006705,"lnRR","Ellis","no","no","no","yes","treatment"
"1902",1902,"Ellis et al. 2021","Chao1","2H7PK","dietary intervention","dietary intervention","cecal",7,7,-0.064471021,0.004823808,"lnRR","Ellis","no","no","no","yes","treatment"
"1903",1903,"Ellis et al. 2021","Chao1","Combo","dietary intervention","dietary intervention","cecal",10,9,0.027750081,0.005174426,"lnRR","Ellis","no","no","no","yes","treatment"
"1904",1904,"Ellis et al. 2021","Chao1","Control (unlabeled PK)","control","control","cecal",7,7,-0.1419354,0.019033614,"lnRR","Ellis","no","no","no","no","control"
"1905",1905,"Ellis et al. 2021","Chao1","MK4","dietary intervention","dietary intervention","cecal",10,10,0.033777719,0.006617604,"lnRR","Ellis","no","no","no","yes","treatment"
"1906",1906,"Ellis et al. 2021","Chao1","MK9","dietary intervention","dietary intervention","cecal",9,9,0.08555404,0.005222521,"lnRR","Ellis","no","no","no","yes","treatment"
"1907",1907,"Ellis et al. 2021","Chao1","PK","dietary intervention","dietary intervention","cecal",10,9,0.315583034,0.012713168,"lnRR","Ellis","no","no","no","yes","treatment"
"1908",1908,"Ellis et al. 2021","Chao1","VKdef","dietary intervention","dietary intervention","cecal",8,9,-0.10533835,0.006183968,"lnRR","Ellis","no","no","no","yes","treatment"
"1909",1909,"Gubert et al. 2022","Chao1","R6/1_Enviromental enrichment ","genotype, environmental intervention","genotype, environmental intervention","fecal",8,7,0.101652763,0.00615029,"lnRR","Gubert","yes","no","no","no","treatment"
"1910",1910,"Gubert et al. 2022","Chao1","R6/1_Exercise","genotype, exercise","genotype, exercise","fecal",8,8,-0.134616865,0.009875956,"lnRR","Gubert","yes","no","no","no","treatment"
"1911",1911,"Gubert et al. 2022","Chao1","R6/1_control","genotype","genotype","fecal",8,8,-0.022068711,0.011439446,"lnRR","Gubert","yes","no","no","no","treatment"
"1912",1912,"Gubert et al. 2022","Chao1","WT_Enviromental enrichment ","environmental intervention","environmental intervention","fecal",8,8,0.074717845,0.023632238,"lnRR","Gubert","no","no","no","no","treatment"
"1913",1913,"Gubert et al. 2022","Chao1","WT_Exercise","exercise","exercise","fecal",8,8,-0.026428138,0.012892085,"lnRR","Gubert","no","no","no","no","treatment"
"1914",1914,"Gubert et al. 2022","Chao1","WT_control","control","control","fecal",8,8,-0.144650716,0.015162144,"lnRR","Gubert","no","no","no","no","control"
"1915",1915,"Ibrahim et al. 2019","Chao1","AOM/DSS","colitis and inflammatory intervention","colitis and inflammatory intervention","fecal",7,3,-0.142182546,0.015226414,"lnRR","Ibrahim","no","no","yes","no","treatment"
"1916",1916,"Ibrahim et al. 2019","Chao1","AOM/DSS-ERbKOVil","colitis and inflammatory intervention, genotype, hormonal intervention","colitis and inflammatory intervention, genotype, hormonal intervention","fecal",7,6,-0.145232503,0.005054106,"lnRR","Ibrahim","yes","yes","yes","no","treatment"
"1917",1917,"Ibrahim et al. 2019","Chao1","Control","control","control","fecal",4,4,-0.093967452,0.01631765,"lnRR","Ibrahim","no","no","no","no","control"
"1918",1918,"Ibrahim et al. 2019","Chao1","Control-ERbKOVil","genotype, hormonal intervention","genotype, hormonal intervention","fecal",4,4,-0.445593123,0.021582823,"lnRR","Ibrahim","yes","yes","no","no","treatment"
"1919",1919,"Kozik et al. 2019","Chao1","Colitis-cecal","colitis and inflammatory intervention","colitis and inflammatory intervention","cecal",7,7,-0.127898941,0.021046368,"lnRR","Kozik","no","no","yes","no","treatment"
"1920",1920,"Kozik et al. 2019","Chao1","Colitis-colonMucus","colitis and inflammatory intervention","colitis and inflammatory intervention","colon mucus",5,4,-0.169942336,0.03790378,"lnRR","Kozik","no","no","yes","no","treatment"
"1921",1921,"Kozik et al. 2019","Chao1","Colitis-colonMucus_T0","colitis and inflammatory intervention","colitis and inflammatory intervention","colon mucus",1,NA,NA,NA,"lnRR","Kozik","no","no","yes","no","treatment"
"1922",1922,"Kozik et al. 2019","Chao1","Colitis-fecal","colitis and inflammatory intervention","colitis and inflammatory intervention","fecal",5,7,0.031923079,0.054286084,"lnRR","Kozik","no","no","yes","no","treatment"
"1923",1923,"Kozik et al. 2019","Chao1","Colitis-fecal_T0","colitis and inflammatory intervention","colitis and inflammatory intervention","fecal",7,7,0.123673445,0.035702743,"lnRR","Kozik","no","no","yes","no","treatment"
"1924",1924,"Kozik et al. 2019","Chao1","Control-cecal","control","control","cecal",2,3,-0.131258935,0.22341438,"lnRR","Kozik","no","no","no","no","control"
"1925",1925,"Kozik et al. 2019","Chao1","Control-colonMucus","control","control","colon mucus",NA,3,NA,NA,"lnRR","Kozik","no","no","no","no","control"
"1926",1926,"Kozik et al. 2019","Chao1","Control-fecal","control","control","fecal",2,3,0.067538468,0.026021884,"lnRR","Kozik","no","no","no","no","control"
"1927",1927,"Kozik et al. 2019","Chao1","Control-fecal_T0","control","control","fecal",2,3,0.403001858,0.125728541,"lnRR","Kozik","no","no","no","no","control"
"1928",1928,"Li et al. 2020","Chao1","Chow diet + STZ injection+ Distilled water ","dietary intervention, induced type 1 diabetes","dietary intervention, drug treatment","",5,1,NA,NA,"lnRR","Li","no","no","no","yes","treatment"
"1929",1929,"Li et al. 2020","Chao1","HFD+ STZ injection + DNJ","dietary intervention (mixed), induced type 1 diabetes","dietary intervention, drug treatment","",1,9,NA,NA,"lnRR","Li","no","no","no","yes","treatment"
"1930",1930,"Li et al. 2020","Chao1","HFD+ STZ injection+ Distilled water","dietary intervention (High-fat), induced type 1 diabetes","dietary intervention, drug treatment","",NA,3,NA,NA,"lnRR","Li","no","no","no","yes","treatment"
"1931",1931,"Lindheim et al. 2018","Chao1","PRJNA445979","mixed","mixed","fecal",76,93,0.092380123,0.001093034,"lnRR","Lindheim","no","no","no","no","treatment"
"1932",1932,"Lyte et al. 2022","Chao1","beef-chow","dietary intervention","dietary intervention","fecal",18,19,-0.020783551,0.010284267,"lnRR","Lyte","no","no","no","yes","treatment"
"1933",1933,"Lyte et al. 2022","Chao1","beef-chow-stress","dietary intervention, enviromental intervention","dietary intervention, enviromental intervention","fecal",18,20,-0.248258967,0.006523905,"lnRR","Lyte","no","no","no","yes","treatment"
"1934",1934,"Lyte et al. 2022","Chao1","chow-control","control","control","fecal",20,19,-0.018767964,0.003857252,"lnRR","Lyte","no","no","no","no","control"
"1935",1935,"Lyte et al. 2022","Chao1","chow-stress","enviromental intervention","enviromental intervention","fecal",20,20,-0.214943843,0.005472362,"lnRR","Lyte","no","no","no","no","treatment"
"1936",1936,"Pizarro et al. 2021","Chao1","EtOH-Syn-T1","dietary intervention_mixed","dietary intervention","fecal",10,8,-0.05262206,0.005276778,"lnRR","Pizarro","no","no","no","yes","treatment"
"1937",1937,"Pizarro et al. 2021","Chao1","EtOH-T1","dietary intervention_bad","dietary intervention","fecal",10,8,-0.103823715,0.002856231,"lnRR","Pizarro","no","no","no","yes","treatment"
"1938",1938,"Pizarro et al. 2021","Chao1","Symbiotic-T0","dietary intervention_good","dietary intervention","fecal",10,8,-0.12436096,0.003049372,"lnRR","Pizarro","no","no","no","yes","treatment"
"1939",1939,"Pizarro et al. 2021","Chao1","Water-T0","control","control","fecal",10,8,0.11396796,0.002239911,"lnRR","Pizarro","no","no","no","no","control"
"1940",1940,"Ramakrishna et al. 2020","Chao1","ACV+IVIG-injected","drug treatment (immune-related)","drug treatment","fecal",1,4,NA,NA,"lnRR","Ramakrishna","no","no","no","no","treatment"
"1941",1941,"Ramakrishna et al. 2020","Chao1","ACV-injected","drug treatment (immune-related)","drug treatment","fecal",3,2,0.145836243,0.058339318,"lnRR","Ramakrishna","no","no","no","no","treatment"
"1942",1942,"Ramakrishna et al. 2020","Chao1","Control","control","control","fecal",2,3,-0.411063748,0.07588064,"lnRR","Ramakrishna","no","no","no","no","control"
"1943",1943,"Ramakrishna et al. 2020","Chao1","HSV1-infected","infection","infection","fecal",4,5,0.129239656,0.029342903,"lnRR","Ramakrishna","no","no","no","no","treatment"
"1944",1944,"Ramakrishna et al. 2020","Chao1","HSV1-infected; ACV+IVIG-injected","infection, drug treatment (immune-related)","infection, drug treatment ","fecal",2,3,-0.123327311,0.02061641,"lnRR","Ramakrishna","no","no","no","no","treatment"
"1945",1945,"Ramakrishna et al. 2020","Chao1","HSV1-infected; ACV-injected","infection, drug treatment (immune-related)","infection, drug treatment ","fecal",1,1,NA,NA,"lnRR","Ramakrishna","no","no","no","no","treatment"
"1946",1946,"Ramakrishna et al. 2020","Chao1","HSV1-infected; IVIG-injected","infection, drug treatment (immune-related)","infection, drug treatment","fecal",3,1,NA,NA,"lnRR","Ramakrishna","no","no","no","no","treatment"
"1947",1947,"Ramakrishna et al. 2020","Chao1","IVIG-injected","drug treatment (immune-related)","drug treatment","fecal",5,5,0.012975779,0.036830558,"lnRR","Ramakrishna","no","no","no","no","treatment"
"1948",1948,"Son et al. 2019","Chao1","Control","control","control","fecal",8,8,0.217591673,0.02999367,"lnRR","Son","no","no","no","no","control"
"1949",1949,"Son et al. 2019","Chao1","IL-10 Knockout ","colitis and inflammatory intervention, genotype","colitis and inflammatory intervention, genotype","fecal",8,8,0.183906877,0.029070011,"lnRR","Son","yes","no","yes","no","treatment"
"1950",1950,"Song et al. 2020","Chao1","AOM/DSS","colitis and inflammatory intervention","colitis and inflammatory intervention","fecal",12,NA,NA,NA,"lnRR","Song","no","no","yes","no","treatment"
